name,affiliation,links
Joshua B. Tenenbaum,MIT,Samuel Gershman	Thomas L. Griffiths	Konrad Paul Kording	Jessica B. Hamrick
Surya Ganguli,"Associate Professor, Stanford University",Andrew Saxe	David Sussillo	James L. McClelland
Jonathan D. Cohen,"Professor of Psychology, Co-Director of Princeton Neuroscience Institute, Princeton University",Andrew Saxe	Rafal Bogacz	Nathaniel D. Daw
Ross Otto,McGill University,Bradley C. Love	Samuel Gershman	Nathaniel D. Daw
Yael Niv,"Professor of Psychology and Neuroscience, Princeton University",Samuel Gershman	Nathaniel D. Daw	Anna Schapiro
Kenneth A. Norman,"Professor of Psychology and Neuroscience, Princeton University",Samuel Gershman	Uri Hasson	Anna Schapiro
George Church,Harvard Medical School,Konrad Paul Kording	Adam H Marblestone	Joshua I. Glaser
L F Abbott,"Brandeis University, CERN, Boston University, Columbia University, Stanford Linear Accelerator",Anne K. Churchland	David Sussillo	Kanaka Rajan
Quoc V. Le,"Research Scientist, Google Brain",Andrew Saxe	David Sussillo
Oriol Vinyals,Research Scientist at Google DeepMind,Andrew Saxe	David Sussillo
Misha Denil,DeepMind,Nando de Freitas	Raia Hadsell
Michael I. Jordan,"Professor of EECS and Professor of Statistics, University of California, Berkeley",Nando de Freitas	Thomas L. Griffiths
David Blei,"Professor of Statistics and Computer Science, Columbia University",Nando de Freitas	Samuel Gershman
Marius Usher,Tel-Aviv University,Rafal Bogacz	James L. McClelland
Ole Jensen,"School of Psychology, University of Birmingham",Marcel van Gerven	Roshan Cools
Barbara Landau,"Dick and Lydia Todd Professor of Cognitive Science, Johns Hopkins University",Elizabeth Spelke	Anna Schapiro
Timothy Verstynen,"Associate Professor, Dept. Psychology, Carnegie Mellon Neuroscience Institute, & BME (courtesy)",Talia Konkle	Kyle Dunovan
Richard IVRY,"Professor of Psychology and Neuroscience, University of California Berkeley",Talia Konkle	John W Krakauer
Todd Gureckis,"Professor of Psychology, New York University",Bradley C. Love	Jessica B. Hamrick
Yuval Nir,"Associate Professor, Tel Aviv University",Jonathan Brennan	Uri Hasson
David J Heeger,"Professor of Psychology and Neural Science, New York University",Jonathan Brennan	Uri Hasson
Noah D. Goodman,Stanford University,Samuel Gershman	Thomas L. Griffiths
Ben Seymour,"Computational and Biological Learning Lab, University of Cambridge",Samuel Gershman	Nathaniel D. Daw
Raymond J Dolan,University College London,Samuel Gershman	Nathaniel D. Daw
Ladan Shams,"UCLA Professor of Psychology, Neuroscience, BioEngineering",Megan A. K. Peters	Dean Buonomano
Prof. T.W. Robbins,University of Cambridge,Nathaniel D. Daw	Roshan Cools
Daniel Wolpert,"Professor of Neuroscience, Columbia University",Máté Lengyel	Konrad Paul Kording
B Gutkin,Ecole Normale Superieure,Máté Lengyel	Mark D Humphries
Lee E. Miller,"Professor of Physiology, Physical Medicine and Rehabilitation, Biomedical Engineering, Northwestern",Konrad Paul Kording	Joshua I. Glaser
Pavan Ramkumar,,Konrad Paul Kording	Joshua I. Glaser
Matthew T Kaufman,Assistant Professor at University of Chicago,Anne K. Churchland	David Sussillo
Seyed-Mahdi Khaligh-Razavi,Cognetivity Neurosciences,Nikolaus Kriegeskorte	Kendrick Kay
Ed Boyden,MIT,Adam H Marblestone	Joshua I. Glaser
Reza Kalhor,Johns Hopkins University,Adam H Marblestone	Joshua I. Glaser
Brad Zamft,"X, the moonshot factory",Adam H Marblestone	Joshua I. Glaser
"Thaddeus R. Cybulski MD, PhD","Resident Physician, Northwestern University - Internal Medicine, PSTP",Adam H Marblestone	Joshua I. Glaser
Jose Carmena,"Professor of Electrical Engineering and Neuroscience, University of California, Berkeley",Adam H Marblestone	Joshua I. Glaser
Christopher J. Honey,"Assistant Professor, Johns Hopkins University",Uri Hasson	Anna Schapiro
Domenica Bueti,Scuola Internazionale Superiore di Studi Avanzati (SISSA),Ryota Kanai	Dean Buonomano
Timothy T. Rogers,"Professor of Psychology, University of Wisconsin-Madison",Anna Schapiro	James L. McClelland
Matthew A. LAMBON RALPH,"MRC Cognition and Brain Sciences Unit, University of Cambridge",Anna Schapiro	James L. McClelland
Shinji Nishimoto,"Senior Researcher (PI), CiNet, National Institute of Information and Communications Technology",Kendrick Kay	Thomas Naselaris
