source	sourceTitle	target	targetTitle
David Blei	edu	Samuel Gershman	edu
David Blei	edu	Thomas L. Griffiths	edu
David Blei	edu	Joshua B. Tenenbaum	edu
David Blei	edu	Kenneth A. Norman	edu
Marisa Carrasco	edu	Shlomit Yuval-Greenberg	-
Marisa Carrasco	edu	Rachel Denison	edu
David J Heeger	edu	Marisa Carrasco	edu
David J Heeger	edu	Tony Movshon	edu
David J Heeger	edu	Rachel Denison	edu
David J Heeger	edu	Uri Hasson	edu
David J Heeger	edu	Matteo Carandini	-
David J Heeger	edu	Justin L Gardner	-
David J Heeger	edu	Tobias H. Donner	-
Rachel Denison	edu	Wei Ji Ma / Whee Ky Ma	edu
Rachel Denison	edu	William T. Adler	-
Rachel Denison	edu	Yasha (Jacob) Sheynin	-
Rachel Denison	edu	Shlomit Yuval-Greenberg	-
Rachel Denison	edu	Zhimin Chen	-
Noah D. Goodman	edu	Thomas L. Griffiths	edu
Noah D. Goodman	edu	Tomer Ullman	-
Noah D. Goodman	edu	Tobias Gerstenberg	-
Noah D. Goodman	edu	Samuel Gershman	edu
Joshua B. Tenenbaum	edu	Noah D. Goodman	edu
Joshua B. Tenenbaum	edu	Wei Ji Ma / Whee Ky Ma	edu
Joshua B. Tenenbaum	edu	Samuel Gershman	edu
Joshua B. Tenenbaum	edu	Konrad Paul Kording	edu
Joshua B. Tenenbaum	edu	Thomas L. Griffiths	edu
Joshua B. Tenenbaum	edu	William T. Freeman	-
Joshua B. Tenenbaum	edu	Tomer Ullman	-
Joshua B. Tenenbaum	edu	Vikash K. Mansinghka	-
Joshua B. Tenenbaum	edu	Mark Steyvers	-
Joshua B. Tenenbaum	edu	Ruslan Salakhutdinov	-
Joshua B. Tenenbaum	edu	Michael C. Frank	-
Joshua B. Tenenbaum	edu	Tejas Kulkarni	-
Joshua B. Tenenbaum	edu	Tobias Gerstenberg	-
Joshua B. Tenenbaum	edu	Rebecca Saxe	-
Michael C. Frank	-	Noah D. Goodman	edu
Charles Kemp	-	Noah D. Goodman	edu
Charles Kemp	-	Thomas L. Griffiths	edu
Charles Kemp	-	Joshua B. Tenenbaum	edu
Chris Baker	-	Noah D. Goodman	edu
Chris Baker	-	Joshua B. Tenenbaum	edu
Chris Baker	-	Nikolaus Kriegeskorte	edu
Christopher J. Honey	edu	Olaf Sporns	-
Christopher J. Honey	edu	leila cammoun	-
Christopher J. Honey	edu	Patric Hagmann	-
Christopher J. Honey	edu	Janice Chen	-
Christopher J. Honey	edu	Corey J. Keller, MD / PhD	-
Christopher J. Honey	edu	Jean-Philippe Thiran	-
Christopher J. Honey	edu	Kenneth A. Norman	edu
Christopher J. Honey	edu	kai joshua miller	-
Christopher J. Honey	edu	Michael Breakspear	-
Christopher J. Honey	edu	Dora Hermes	-
Christopher J. Honey	edu	Jeffrey Ojemann	-
Christopher J. Honey	edu	David M. Groppe	-
Christopher J. Honey	edu	Michael Arcaro	-
Christopher J. Honey	edu	yaara yeshurun	-
Christopher J. Honey	edu	Thomas Thesen	edu
Christopher J. Honey	edu	Rajesh P. N. Rao	-
Christopher J. Honey	edu	Eberhard Fetz	-
Christopher J. Honey	edu	JP Thivierge	-
Christopher J. Honey	edu	Istvan Ulbert	-
Christopher J. Honey	edu	Uri Hasson	edu
Janice Chen	-	Uri Hasson	edu
Kenneth A. Norman	edu	Samuel Gershman	edu
Kenneth A. Norman	edu	Uri Hasson	edu
Michael Arcaro	-	Uri Hasson	edu
Thomas Thesen	edu	ruben I. kuzniecky	-
Thomas Thesen	edu	Xiuyuan (Hugh) Wang	-
Thomas Thesen	edu	Tracy Butler	-
Rajesh P. N. Rao	-	Roozbeh Kiani	edu
Adam O. Hebb	-	Christopher J. Honey	edu
Istvan Ulbert	-	Thomas Thesen	edu
Megan A. K. Peters	edu	Michele A Basso	-
Megan A. K. Peters	edu	ruben I. kuzniecky	-
Megan A. K. Peters	edu	Thomas Thesen	edu
Megan A. K. Peters	edu	Yoshiaki Ko	-
Megan A. K. Peters	edu	Robert Kentridge	-
Megan A. K. Peters	edu	Wei Ji Ma / Whee Ky Ma	edu
Megan A. K. Peters	edu	Stefano Soatto	-
Hakwan Lau	edu	Megan A. K. Peters	edu
Hakwan Lau	edu	Vincent Taschereau-Dumouchel	edu
Hakwan Lau	edu	Kaoru Amano	jp
Hakwan Lau	edu	Steve Fleming	uk
Brian Maniscalco	-	Megan A. K. Peters	edu
Brian Maniscalco	-	Dobromir Rahnev	edu
Brian Maniscalco	-	Brian Odegaard	edu
Ladan Shams	edu	Megan A. K. Peters	edu
Ladan Shams	edu	Wei Ji Ma / Whee Ky Ma	edu
Brian Odegaard	edu	Megan A. K. Peters	edu
Brian Odegaard	edu	Hakwan Lau	edu
Brian Odegaard	edu	Ladan Shams	edu
Brian Odegaard	edu	Michele A Basso	-
Brian Odegaard	edu	Robert Thomas Knight	-
Brian Odegaard	edu	Piercesare Grimaldi	-
Brian Odegaard	edu	Seong Hah Cho	-
Brian Odegaard	edu	JD Knotts	-
Brian Odegaard	edu	Li Yan McCurdy	-
Brian Odegaard	edu	Sing-Hang Cheung	-
Brian Odegaard	edu	Musen Kingsley Li	-
Brian Odegaard	edu	David Rosenthal	-
Brian Odegaard	edu	Danielle Salomon	-
Brian Odegaard	edu	Ulrik R. Beierholm	-
Brian Odegaard	edu	Johannes Fahrenfort	-
Eric Halgren	-	Megan A. K. Peters	edu
Eric Halgren	-	Thomas Thesen	edu
Benjamin Thompson	-	Megan A. K. Peters	edu
Lotfi B. Merabet	-	Megan A. K. Peters	edu
Kayuet Liu	-	Megan A. K. Peters	edu
Kayuet Liu	-	Vincent Taschereau-Dumouchel	edu
Wei Ji Ma / Whee Ky Ma	edu	peter latham	-
Wei Ji Ma / Whee Ky Ma	edu	michael shadlen	-
Luigi Acerbi	-	Megan A. K. Peters	edu
Luigi Acerbi	-	Wei Ji Ma / Whee Ky Ma	edu
Bernard Marius 't Hart	-	Megan A. K. Peters	edu
Nathaniel D. Daw	edu	Raymond J Dolan	uk
Nathaniel D. Daw	edu	Samuel Gershman	edu
Nathaniel D. Daw	edu	Steve Fleming	uk
Daniel Wolpert	edu	Roozbeh Kiani	edu
