source	sourceTitle	target	targetTitle
Marisa Carrasco	edu	Rachel Denison	edu
Marisa Carrasco	edu	Michael S Landy	edu
David J Heeger	orig	Marisa Carrasco	edu
David J Heeger	orig	Jonathan Brennan	edu
David J Heeger	orig	Michael S Landy	edu
David J Heeger	orig	Tony Movshon	orig
David J Heeger	orig	Rachel Denison	edu
David J Heeger	orig	Eero P Simoncelli	edu
David J Heeger	orig	David Ress	-
David J Heeger	orig	Uri Hasson	edu
David J Heeger	orig	Marlene Behrmann	-
David J Heeger	orig	Elisha P. Merriam	-
David J Heeger	orig	Matteo Carandini	-
David J Heeger	orig	Geoffrey M Boynton	-
David J Heeger	orig	Ilan Dinstein	-
David J Heeger	orig	Randolph Blake+R. Randolph Blake	-
David J Heeger	orig	Jonathan B. Demb	-
David J Heeger	orig	Edward H Adelson	-
David J Heeger	orig	Justin L Gardner	-
David J Heeger	orig	Jonas Larsson	-
David J Heeger	orig	Tobias H. Donner	-
Laurence T Maloney	-	Marisa Carrasco	edu
Laurence T Maloney	-	Michael S Landy	edu
Laurence T Maloney	-	Todd Gureckis	orig
Rachel Denison	edu	Wei Ji Ma / Whee Ky Ma	orig
Joshua B. Tenenbaum	edu	Wei Ji Ma / Whee Ky Ma	orig
Joshua B. Tenenbaum	edu	Samuel Gershman	edu
Joshua B. Tenenbaum	edu	Konrad Paul Kording	edu
Rajesh P. N. Rao	-	Roozbeh Kiani	orig
Megan A. K. Peters	edu	Thomas Thesen	edu
Megan A. K. Peters	edu	Wei Ji Ma / Whee Ky Ma	orig
Brian Maniscalco	-	Megan A. K. Peters	edu
Ladan Shams	edu	Megan A. K. Peters	edu
Ladan Shams	edu	Wei Ji Ma / Whee Ky Ma	orig
Wei Ji Ma / Whee Ky Ma	orig	peter latham	-
Wei Ji Ma / Whee Ky Ma	orig	michael shadlen	-
Luigi Acerbi	-	Megan A. K. Peters	edu
Luigi Acerbi	-	Wei Ji Ma / Whee Ky Ma	orig
Michael S Landy	edu	Nathaniel D. Daw	edu
Michael S Landy	edu	Tony Movshon	orig
Eero P Simoncelli	edu	Michael S Landy	edu
Eero P Simoncelli	edu	Tony Movshon	orig
Eero P Simoncelli	edu	Robbe L T Goris	-
Jonas Larsson	-	Michael S Landy	edu
Nathaniel D. Daw	edu	Samuel Gershman	edu
Nathaniel D. Daw	edu	Ross Otto	ca
Daniel Wolpert	edu	Michael S Landy	edu
Daniel Wolpert	edu	Roozbeh Kiani	orig
Daniel Wolpert	edu	Konrad Paul Kording	edu
Daniel Wolpert	edu	Paul Bays	-
Daniel Wolpert	edu	michael shadlen	-
Alexandre Pouget	-	Wei Ji Ma / Whee Ky Ma	orig
Alexandre Pouget	-	Roozbeh Kiani	orig
Jeff Beck	-	Wei Ji Ma / Whee Ky Ma	orig
Jeff Beck	-	Roozbeh Kiani	orig
Ronald van den Berg	-	Wei Ji Ma / Whee Ky Ma	orig
Ulrik R. Beierholm	-	Wei Ji Ma / Whee Ky Ma	orig
Hongsup Shin	-	Wei Ji Ma / Whee Ky Ma	orig
Konrad Paul Kording	edu	Wei Ji Ma / Whee Ky Ma	orig
Edward Awh	-	Wei Ji Ma / Whee Ky Ma	orig
Paul Bays	-	Wei Ji Ma / Whee Ky Ma	orig
Masud Husain	-	Wei Ji Ma / Whee Ky Ma	orig
Jamie Roitman	-	Wei Ji Ma / Whee Ky Ma	orig
Jamie Roitman	-	Roozbeh Kiani	orig
Roozbeh Kiani	orig	Wei Ji Ma / Whee Ky Ma	orig
Roozbeh Kiani	orig	michael shadlen	-
Roozbeh Kiani	orig	Tim Hanks	-
Roozbeh Kiani	orig	William T Newsome	-
Roozbeh Kiani	orig	peter latham	-
Tim Hanks	-	Wei Ji Ma / Whee Ky Ma	orig
Anne K. Churchland	edu	Wei Ji Ma / Whee Ky Ma	orig
Anne K. Churchland	edu	Roozbeh Kiani	orig
Anne K. Churchland	edu	michael shadlen	-
Anne K. Churchland	edu	peter latham	-
Anne K. Churchland	edu	Tim Hanks	-
Anne K. Churchland	edu	Jeff Beck	-
Anne K. Churchland	edu	Jamie Roitman	-
Anne K. Churchland	edu	Matteo Carandini	-
Anne K. Churchland	edu	Rishidev Chaudhuri	-
Anne K. Churchland	edu	Xiao-Jing Wang	orig
Anne K. Churchland	edu	Justin L Gardner	-
Andreas Tolias	-	Wei Ji Ma / Whee Ky Ma	orig
Shaiyan Keshvari	-	Wei Ji Ma / Whee Ky Ma	orig
Alfonso Renart	-	Xiao-Jing Wang	orig
Xiao-Jing Wang	orig	ranulfo romo	-
