source	sourceTitle	target	targetTitle
Marisa Carrasco	orig	Sam Ling	-
Marisa Carrasco	orig	Yaffa Yeshurun	-
Marisa Carrasco	orig	Taosheng Liu	-
Marisa Carrasco	orig	Martin Rolfs	-
Marisa Carrasco	orig	Miguel Eckstein	-
Marisa Carrasco	orig	Miriam Spering	-
Marisa Carrasco	orig	Sarit Szpiro	-
Marisa Carrasco	orig	Shlomit Yuval-Greenberg	-
Marisa Carrasco	orig	Rachel Denison	edu
Marisa Carrasco	orig	Michael S Landy	orig
David J Heeger	orig	Marisa Carrasco	orig
David J Heeger	orig	Jonathan Brennan	edu
David J Heeger	orig	Michael S Landy	orig
David J Heeger	orig	Tony Movshon	orig
David J Heeger	orig	Rachel Denison	edu
David J Heeger	orig	Eero P Simoncelli	orig
David J Heeger	orig	David Ress	-
David J Heeger	orig	Uri Hasson	edu
David J Heeger	orig	Marlene Behrmann	-
David J Heeger	orig	Elisha P. Merriam	-
David J Heeger	orig	Matteo Carandini	-
David J Heeger	orig	Geoffrey M Boynton	-
David J Heeger	orig	Ilan Dinstein	-
David J Heeger	orig	Randolph Blake+R. Randolph Blake	-
David J Heeger	orig	Jonathan B. Demb	-
David J Heeger	orig	Edward H Adelson	-
David J Heeger	orig	Justin L Gardner	-
David J Heeger	orig	Jonas Larsson	-
David J Heeger	orig	Tobias H. Donner	-
Antoine Barbot	-	Marisa Carrasco	orig
Antoine Barbot	-	Michael S Landy	orig
Franco Pestilli	-	Marisa Carrasco	orig
Franco Pestilli	-	Kendrick Kay	edu
Jared Abrams	-	Marisa Carrasco	orig
Alex L. White	-	Marisa Carrasco	orig
Mariel Roberts	-	Marisa Carrasco	orig
Hsin-Hung Li	-	Marisa Carrasco	orig
Leila Montaser-Kouhsari	-	Marisa Carrasco	orig
Leila Montaser-Kouhsari	-	Michael S Landy	orig
David Carmel	-	Marisa Carrasco	orig
Laura Dugué	-	Marisa Carrasco	orig
Laurence T Maloney	-	Marisa Carrasco	orig
Laurence T Maloney	-	Michael S Landy	orig
Laurence T Maloney	-	Todd Gureckis	orig
Rachel Denison	edu	Wei Ji Ma / Whee Ky Ma	orig
Rachel Denison	edu	Shlomit Yuval-Greenberg	-
Joshua B. Tenenbaum	edu	Wei Ji Ma / Whee Ky Ma	orig
Joshua B. Tenenbaum	edu	Samuel Gershman	edu
Joshua B. Tenenbaum	edu	Konrad Paul Kording	edu
Joshua B. Tenenbaum	edu	William T. Freeman	-
