source	sourceTitle	target	targetTitle
Andrew Saxe	uk	Surya Ganguli	edu
Andrew Saxe	uk	Quoc V. Le	edu
Andrew Saxe	uk	Jonathan D. Cohen	edu
Andrew Saxe	uk	Oriol Vinyals	com
Andrew Saxe	uk	James L. McClelland	edu
Jonathan D. Cohen	edu	Rafal Bogacz	uk
Jonathan D. Cohen	edu	Nathaniel D. Daw	edu
Jonathan D. Cohen	edu	Yael Niv	edu
Oriol Vinyals	com	Quoc V. Le	edu
Misha Denil	com	Nando de Freitas	com
Misha Denil	com	Raia Hadsell	com
Michael I. Jordan	edu	Nando de Freitas	com
Michael I. Jordan	edu	Thomas L. Griffiths	edu
David Blei	edu	Nando de Freitas	com
David Blei	edu	Samuel Gershman	edu
David Blei	edu	Michael I. Jordan	edu
David Blei	edu	Thomas L. Griffiths	edu
David Blei	edu	Joshua B. Tenenbaum	edu
David Blei	edu	Kenneth A. Norman	edu
Adrian M. Owen	ca	Martin M Monti	edu
Adrian M. Owen	ca	Prof. T.W. Robbins	uk
Adrian M. Owen	ca	Roshan Cools	nl
Marisa Carrasco	edu	Rachel Denison	edu
Marisa Carrasco	edu	Michael S Landy	edu
David J Heeger	edu	Marisa Carrasco	edu
David J Heeger	edu	Jonathan Brennan	edu
David J Heeger	edu	Michael S Landy	edu
David J Heeger	edu	Tony Movshon	edu
David J Heeger	edu	Rachel Denison	edu
David J Heeger	edu	Eero P Simoncelli	edu
David J Heeger	edu	Uri Hasson	edu
Rachel Denison	edu	Wei Ji Ma / Whee Ky Ma	edu
Noah D. Goodman	edu	Thomas L. Griffiths	edu
Noah D. Goodman	edu	Samuel Gershman	edu
Joshua B. Tenenbaum	edu	Noah D. Goodman	edu
Joshua B. Tenenbaum	edu	Wei Ji Ma / Whee Ky Ma	edu
Joshua B. Tenenbaum	edu	Samuel Gershman	edu
Joshua B. Tenenbaum	edu	Konrad Paul Kording	edu
Joshua B. Tenenbaum	edu	Thomas L. Griffiths	edu
Christopher J. Honey	edu	Kenneth A. Norman	edu
Christopher J. Honey	edu	Thomas Thesen	edu
Christopher J. Honey	edu	Uri Hasson	edu
Kenneth A. Norman	edu	Samuel Gershman	edu
Kenneth A. Norman	edu	Yael Niv	edu
Kenneth A. Norman	edu	Uri Hasson	edu
Marius Usher	il	Rafal Bogacz	uk
Jonathan Brennan	edu	Liina Pylkkanen	edu
Jonathan Brennan	edu	Yuval Nir	il
Megan A. K. Peters	edu	Thomas Thesen	edu
Megan A. K. Peters	edu	Wei Ji Ma / Whee Ky Ma	edu
Hakwan Lau	edu	Megan A. K. Peters	edu
Hakwan Lau	edu	Vincent Taschereau-Dumouchel	edu
Hakwan Lau	edu	Kaoru Amano	jp
Hakwan Lau	edu	Steve Fleming	uk
Ladan Shams	edu	Megan A. K. Peters	edu
Ladan Shams	edu	Wei Ji Ma / Whee Ky Ma	edu
Brian Odegaard	edu	Megan A. K. Peters	edu
Brian Odegaard	edu	Hakwan Lau	edu
Brian Odegaard	edu	Ladan Shams	edu
Michael S Landy	edu	Nathaniel D. Daw	edu
Michael S Landy	edu	Tony Movshon	edu
Eero P Simoncelli	edu	Michael S Landy	edu
Eero P Simoncelli	edu	Tony Movshon	edu
Eero P Simoncelli	edu	Nicole Rust	edu
Nathaniel D. Daw	edu	Yael Niv	edu
Nathaniel D. Daw	edu	Raymond J Dolan	uk
Nathaniel D. Daw	edu	Samuel Gershman	edu
Nathaniel D. Daw	edu	Ross Otto	ca
Nathaniel D. Daw	edu	Prof. T.W. Robbins	uk
Nathaniel D. Daw	edu	Roshan Cools	nl
Nathaniel D. Daw	edu	Steve Fleming	uk
Daniel Wolpert	edu	Michael S Landy	edu
Daniel Wolpert	edu	Máté Lengyel	uk
Daniel Wolpert	edu	Roozbeh Kiani	edu
Daniel Wolpert	edu	Konrad Paul Kording	edu
Daniel Wolpert	edu	Michael I. Jordan	edu
Marcel van Gerven	nl	Ole Jensen	uk
Ole Jensen	uk	Roshan Cools	nl
Elizabeth Spelke	edu	Moira R. Dillon	edu
Barbara Landau	edu	Elizabeth Spelke	edu
Barbara Landau	edu	Moira R. Dillon	edu
Einar M. Sigurdsson	org	Thomas Wisniewski	org
Talia Konkle	edu	Timothy Verstynen	edu
Richard IVRY	edu	Talia Konkle	edu
Richard IVRY	edu	Timothy Verstynen	edu
Konrad Paul Kording	edu	Wei Ji Ma / Whee Ky Ma	edu
Konrad Paul Kording	edu	Lee E. Miller	edu
Konrad Paul Kording	edu	Thaddeus R. Cybulski MD, PhD	edu
Konrad Paul Kording	edu	Pavan Ramkumar	edu
Roozbeh Kiani	edu	Wei Ji Ma / Whee Ky Ma	edu
Anne K. Churchland	edu	Wei Ji Ma / Whee Ky Ma	edu
Anne K. Churchland	edu	Roozbeh Kiani	edu
Anne K. Churchland	edu	Matthew T Kaufman	edu
Anne K. Churchland	edu	Xiao-Jing Wang	edu
Anne K. Churchland	edu	L F Abbott	edu
George Church	edu	Reza Kalhor	edu
George Church	edu	Thaddeus R. Cybulski MD, PhD	edu
George Church	edu	Konrad Paul Kording	edu
George Church	edu	Joshua I. Glaser	edu
Chelsea Finn	edu	Thomas L. Griffiths	edu
Alex D. Reyes	edu	L F Abbott	edu
Alex D. Reyes	edu	B Gutkin	fr
Alex D. Reyes	edu	Chiye Aoki	edu
Alex D. Reyes	edu	Joseph LeDoux	edu
L F Abbott	edu	Matthew T Kaufman	edu
B Gutkin	fr	Máté Lengyel	uk
B Gutkin	fr	Terrence Sejnowski	edu
B Gutkin	fr	Mark D Humphries	uk
Joseph LeDoux	edu	Yael Niv	edu
Gyorgy Buzsaki	org	Xiao-Jing Wang	edu
Gyorgy Buzsaki	org	Thomas Thesen	edu
James L. McClelland	edu	Surya Ganguli	edu
James L. McClelland	edu	Timothy T. Rogers	edu
James L. McClelland	edu	Marius Usher	il
James L. McClelland	edu	Matthew A. LAMBON RALPH	uk
Kyunghyun Cho	edu	Surya Ganguli	edu
David Sussillo	com	Surya Ganguli	edu
David Sussillo	com	Matthew T Kaufman	edu
David Sussillo	com	L F Abbott	edu
David Sussillo	com	Quoc V. Le	edu
David Sussillo	com	Oriol Vinyals	com
Ben Seymour	uk	Nathaniel D. Daw	edu
Ben Seymour	uk	Samuel Gershman	edu
Ben Seymour	uk	Kaoru Amano	jp
Ben Seymour	uk	Raymond J Dolan	uk
Ben Seymour	uk	Yael Niv	edu
Raymond J Dolan	uk	Samuel Gershman	edu
Raymond J Dolan	uk	Steve Fleming	uk
Samuel Gershman	edu	Yael Niv	edu
Ross Otto	ca	Samuel Gershman	edu
Ross Otto	ca	Todd Gureckis	edu
Prof. T.W. Robbins	uk	Roshan Cools	nl
Donald A Wilson	org	Regina Sullivan	org
Matthew Botvinick	com	Samuel Gershman	edu
Matthew Botvinick	com	Timothy T. Rogers	edu
Matthew Botvinick	com	Yael Niv	edu
Brenden Lake	edu	Samuel Gershman	edu
Brenden Lake	edu	Joshua B. Tenenbaum	edu
Brenden Lake	edu	Todd Gureckis	edu
Brenden Lake	edu	James L. McClelland	edu
Brenden Lake	edu	Rob Fergus	edu
Mario Svirsky	org	Michael I. Jordan	edu
Mario Svirsky	org	Robert Froemke	edu
Mario Svirsky	org	Michael A Long	org
J. Patrick Mayo	edu	John HR Maunsell	edu
Bradley C. Love	uk	Ross Otto	ca
Bradley C. Love	uk	Todd Gureckis	edu
Catherine Hartley	edu	Ross Otto	ca
Catherine Hartley	edu	Samuel Gershman	edu
Catherine Hartley	edu	Nathaniel D. Daw	edu
Terrence Sejnowski	edu	Tony Movshon	edu
Jörn Diedrichsen	ca	Timothy Verstynen	edu
Jörn Diedrichsen	ca	Nikolaus Kriegeskorte	edu
Kyle Dunovan	edu	Timothy Verstynen	edu
Cristina Savin	edu	Máté Lengyel	uk
Cristina Savin	edu	Kyunghyun Cho	edu
Cristina Savin	edu	Eero P Simoncelli	edu
Lee E. Miller	edu	Pavan Ramkumar	edu
Joshua I. Glaser	edu	Thaddeus R. Cybulski MD, PhD	edu
Joshua I. Glaser	edu	Konrad Paul Kording	edu
Joshua I. Glaser	edu	Lee E. Miller	edu
Joshua I. Glaser	edu	Reza Kalhor	edu
Joshua I. Glaser	edu	Pavan Ramkumar	edu
Jose Carmena	edu	Thaddeus R. Cybulski MD, PhD	edu
Jose Carmena	edu	Joshua I. Glaser	edu
Ed Boyden	edu	Thaddeus R. Cybulski MD, PhD	edu
Ed Boyden	edu	Joshua I. Glaser	edu
Brad Zamft	team	Thaddeus R. Cybulski MD, PhD	edu
Brad Zamft	team	Konrad Paul Kording	edu
Brad Zamft	team	George Church	edu
Brad Zamft	team	Ed Boyden	edu
Brad Zamft	team	Joshua I. Glaser	edu
Adam H Marblestone	edu	Thaddeus R. Cybulski MD, PhD	edu
Adam H Marblestone	edu	Brad Zamft	team
Adam H Marblestone	edu	Konrad Paul Kording	edu
Adam H Marblestone	edu	George Church	edu
Adam H Marblestone	edu	Ed Boyden	edu
Adam H Marblestone	edu	Reza Kalhor	edu
Adam H Marblestone	edu	Joshua I. Glaser	edu
Adam H Marblestone	edu	Jose Carmena	edu
Matthew A. LAMBON RALPH	uk	Timothy T. Rogers	edu
Nicholas Turk-Browne	edu	Timothy T. Rogers	edu
Domenica Bueti	it	Ryota Kanai	org
Dobromir Rahnev	edu	Rachel Denison	edu
Dobromir Rahnev	edu	Hakwan Lau	edu
Jason Samaha	edu	Rachel Denison	edu
Bijan Pesaran	edu	Nathaniel D. Daw	edu
Bijan Pesaran	edu	Thomas Thesen	edu
James L. Salzer	org	Moses Chao	edu
Uri Hasson	edu	Yuval Nir	il
Nikolaus Kriegeskorte	edu	Roozbeh Kiani	edu
Nikolaus Kriegeskorte	edu	Seyed-Mahdi Khaligh-Razavi	com
Anthony Zador	edu	Brad Zamft	team
Adam Carter	edu	Eric Klann	edu
Adam Carter	edu	Claude Desplan	edu
Adam Carter	edu	Nicolas Tritsch	org
David Schoppik	org	Dirk Trauner	edu
John W Krakauer	edu	Jörn Diedrichsen	ca
John W Krakauer	edu	Richard IVRY	edu
John W Krakauer	edu	Terrence Sejnowski	edu
Anil Seth	uk	Ryota Kanai	org
Anil Seth	uk	Jason Samaha	edu
Anil Seth	uk	Steve Fleming	uk
Anna Schapiro	edu	Nicholas Turk-Browne	edu
Anna Schapiro	edu	Kenneth A. Norman	edu
Anna Schapiro	edu	Matthew Botvinick	com
Anna Schapiro	edu	Timothy T. Rogers	edu
Anna Schapiro	edu	Barbara Landau	edu
Anna Schapiro	edu	Samuel Gershman	edu
Anna Schapiro	edu	Matthew A. LAMBON RALPH	uk
Anna Schapiro	edu	Christopher J. Honey	edu
Anna Schapiro	edu	Yael Niv	edu
Kendrick Kay	edu	Seyed-Mahdi Khaligh-Razavi	com
Kendrick Kay	edu	Thomas Naselaris	edu
Kendrick Kay	edu	Nikolaus Kriegeskorte	edu
Kendrick Kay	edu	Shinji Nishimoto	jp
Denis Pelli	edu	Marisa Carrasco	edu
Denis Pelli	edu	Michael S Landy	edu
Alexander Huth	edu	Shinji Nishimoto	jp
Alexander Huth	edu	Thomas L. Griffiths	edu
Alexander Huth	edu	Thomas Naselaris	edu
Shinji Nishimoto	jp	Thomas Naselaris	edu
Kanaka Rajan	edu	L F Abbott	edu
Kanaka Rajan	edu	Robert Froemke	edu
Jessica B. Hamrick	com	Joshua B. Tenenbaum	edu
Jessica B. Hamrick	com	Thomas L. Griffiths	edu
Jessica B. Hamrick	com	Todd Gureckis	edu
Jonathan Winawer	edu	Kaoru Amano	jp
Jonathan Winawer	edu	Kendrick Kay	edu
Aniruddh D. Patel	edu	Jonathan Winawer	edu
Dean Buonomano	edu	Wolfgang Maass	at
Dean Buonomano	edu	Ladan Shams	edu
Dean Buonomano	edu	Domenica Bueti	it
James J DiCarlo	edu	John HR Maunsell	edu
Simon B Laughlin	uk	Terrence Sejnowski	edu
Simon B Laughlin	uk	peter sterling	edu
